IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
101.24.126.14,2026-07-03T03:49:55.405948,auto,4,3,N/A,N/A,CN,Unknown
24.144.84.83,2026-07-03T03:49:55.405952,auto,9,3,N/A,N/A,US,Unknown
50.6.248.168,2026-07-03T03:49:55.405955,auto,13,3,N/A,N/A,US,Unknown
176.65.148.132,2026-07-03T03:49:55.405959,auto,11,2,N/A,N/A,NL,Unknown
101.36.109.176,2026-07-03T03:49:55.405963,auto,10,5,N/A,N/A,HK,Unknown
45.148.10.151,2026-07-03T03:49:55.405967,auto,13,3,N/A,N/A,NL,Unknown
100.55.60.114,2026-07-03T03:49:55.405971,auto,0,0,16,2,US,Amazon Data Services Northern Virginia
101.126.89.35,2026-07-03T03:49:55.405978,auto,10,4,N/A,N/A,CN,Unknown
1.85.42.195,2026-07-03T03:49:55.405982,auto,9,5,N/A,N/A,CN,Unknown
147.148.205.252,2026-07-03T03:49:55.405988,auto,10,5,N/A,N/A,GB,Unknown
180.76.236.214,2026-07-03T03:49:55.405992,auto,11,4,N/A,N/A,CN,Unknown
101.13.5.33,2026-07-03T03:49:55.405996,auto,13,3,N/A,N/A,TW,Unknown
192.169.234.117,2026-07-03T03:49:55.406001,auto,11,3,N/A,N/A,US,Unknown
101.32.33.214,2026-07-03T03:49:55.406004,auto,3,1,N/A,N/A,HK,Unknown
101.126.81.18,2026-07-03T03:49:55.406008,auto,11,6,N/A,N/A,CN,Unknown
45.227.254.170,2026-07-03T03:49:55.406012,auto,11,4,N/A,N/A,PA,Unknown
101.126.35.9,2026-07-03T03:49:55.406015,auto,7,6,N/A,N/A,CN,Unknown
122.168.123.73,2026-07-03T03:49:55.406019,auto,15,3,N/A,N/A,IN,Unknown
101.13.5.63,2026-07-03T03:49:55.406023,auto,13,3,N/A,N/A,TW,Unknown
101.36.107.233,2026-07-03T03:49:55.406027,auto,10,4,N/A,N/A,HK,Unknown
101.126.82.218,2026-07-03T03:49:55.406030,auto,10,6,N/A,N/A,CN,Unknown
222.97.112.179,2026-07-03T03:49:55.406034,auto,4,3,N/A,N/A,KR,Unknown
187.50.194.182,2026-07-03T03:49:55.406038,auto,16,3,N/A,N/A,BR,Unknown
20.226.82.21,2026-07-03T03:49:55.406041,auto,2,1,100,169,BR,Microsoft Corporation
101.126.26.93,2026-07-03T03:49:55.406046,auto,12,4,N/A,N/A,CN,Unknown
51.178.114.78,2026-07-03T03:49:55.406050,auto,12,4,N/A,N/A,FR,Unknown
94.231.206.248,2026-07-03T03:49:55.406054,auto,12,5,N/A,N/A,CN,Unknown
1.15.135.116,2026-07-03T03:49:55.406057,auto,6,2,N/A,N/A,CN,Unknown
101.227.203.162,2026-07-03T03:49:55.406061,auto,13,3,N/A,N/A,CN,Unknown
101.126.141.163,2026-07-03T03:49:55.406065,auto,12,4,N/A,N/A,CN,Unknown
101.126.155.86,2026-07-03T03:49:55.406069,auto,11,4,N/A,N/A,CN,Unknown
194.187.176.117,2026-07-03T03:49:55.406072,auto,8,5,N/A,N/A,DE,Unknown
1.20.140.252,2026-07-03T03:49:55.406076,auto,10,4,N/A,N/A,TH,Unknown
101.32.1.25,2026-07-03T03:49:55.406080,auto,12,3,N/A,N/A,HK,Unknown
163.223.244.3,2026-07-03T03:49:55.406084,auto,8,5,N/A,N/A,IN,Unknown
200.219.200.16,2026-07-03T03:49:55.406087,auto,5,2,N/A,N/A,BR,Unknown
101.126.147.62,2026-07-03T03:49:55.406093,auto,12,4,N/A,N/A,CN,Unknown
59.37.13.66,2026-07-03T03:49:55.406096,auto,12,1,N/A,N/A,CN,Unknown
185.214.138.30,2026-07-03T03:49:55.406100,auto,8,4,N/A,N/A,ES,Unknown
101.13.1.58,2026-07-03T03:49:55.406103,auto,12,4,N/A,N/A,TW,Unknown
102.220.160.47,2026-07-03T03:49:55.406107,auto,18,2,N/A,N/A,SI,Unknown
184.105.139.67,2026-07-03T03:49:55.406111,auto,13,2,N/A,N/A,US,Unknown
101.36.111.119,2026-07-03T03:49:55.406114,auto,10,4,N/A,N/A,HK,Unknown
78.39.48.166,2026-07-03T03:49:55.406118,auto,11,4,N/A,N/A,IR,Unknown
101.32.240.31,2026-07-03T03:49:55.406121,auto,7,4,N/A,N/A,SG,Unknown
218.59.201.12,2026-07-03T03:49:55.406125,auto,8,3,N/A,N/A,CN,Unknown
66.116.196.243,2026-07-03T03:49:55.406128,auto,7,3,N/A,N/A,IN,Unknown
1.220.82.179,2026-07-03T03:49:55.406132,auto,8,3,N/A,N/A,KR,Unknown
101.36.124.127,2026-07-03T03:49:55.406138,auto,11,4,N/A,N/A,HK,Unknown
101.126.55.67,2026-07-03T03:49:55.406142,auto,13,3,N/A,N/A,CN,Unknown
45.205.1.242,2026-07-03T03:49:55.406146,auto,13,5,N/A,N/A,BR,Unknown
207.90.244.19,2026-07-03T03:49:55.406149,auto,11,3,N/A,N/A,US,Unknown
195.184.76.68,2026-07-03T03:49:55.406153,auto,10,4,N/A,N/A,US,Unknown
1.245.207.104,2026-07-03T03:49:55.406157,auto,12,3,N/A,N/A,KR,Unknown
101.13.6.86,2026-07-03T03:49:55.406160,auto,10,4,N/A,N/A,TW,Unknown
1.227.228.131,2026-07-03T03:49:55.406164,auto,10,4,N/A,N/A,KR,Unknown
1.235.192.214,2026-07-03T03:49:55.406167,auto,12,4,N/A,N/A,KR,Unknown
190.115.84.25,2026-07-03T03:49:55.406171,auto,16,3,N/A,N/A,BR,Unknown
101.126.53.14,2026-07-03T03:49:55.406174,auto,17,3,N/A,N/A,CN,Unknown
52.161.46.112,2026-07-03T03:49:55.406178,auto,1,1,100,35,US,Microsoft Corporation
101.126.154.252,2026-07-03T03:49:55.406182,auto,16,4,N/A,N/A,CN,Unknown
100.11.13.169,2026-07-03T03:49:55.406186,auto,2,1,4,1,US,Verizon Business
101.126.89.164,2026-07-03T03:49:55.406190,auto,11,5,N/A,N/A,CN,Unknown
141.11.88.101,2026-07-03T03:49:55.406194,auto,5,3,N/A,N/A,US,Unknown
1.238.106.229,2026-07-03T03:49:55.406198,auto,10,6,N/A,N/A,KR,Unknown
45.148.10.15,2026-07-03T03:49:55.406202,auto,11,2,N/A,N/A,NL,Unknown
66.132.195.94,2026-07-03T03:49:55.406205,auto,8,2,N/A,N/A,US,Unknown
101.126.67.70,2026-07-03T03:49:55.406209,auto,9,4,N/A,N/A,CN,Unknown
101.36.109.144,2026-07-03T03:49:55.406213,auto,10,5,N/A,N/A,HK,Unknown
101.126.88.251,2026-07-03T03:49:55.406216,auto,12,3,N/A,N/A,CN,Unknown
101.13.5.49,2026-07-03T03:49:55.406220,auto,10,4,N/A,N/A,TW,Unknown
1.86.233.5,2026-07-03T03:49:55.406224,auto,14,3,N/A,N/A,CN,Unknown
101.251.197.46,2026-07-03T03:49:55.406227,auto,11,3,N/A,N/A,CN,Unknown
4.193.152.113,2026-07-03T03:49:55.406231,auto,3,2,N/A,N/A,SG,Unknown
101.36.119.203,2026-07-03T03:49:55.406235,auto,12,5,N/A,N/A,HK,Unknown
211.51.132.104,2026-07-03T03:49:55.406238,auto,8,2,N/A,N/A,KR,Unknown
1.94.250.30,2026-07-03T03:49:55.406242,auto,1,2,44,6,CN,"Beijing Teletron Telecom Engineering Co., Ltd."
45.153.34.144,2026-07-03T03:49:55.406247,auto,16,3,N/A,N/A,NL,Unknown
101.13.5.30,2026-07-03T03:49:55.406251,auto,10,4,N/A,N/A,TW,Unknown
23.94.92.98,2026-07-03T03:49:55.406254,auto,13,4,N/A,N/A,US,Unknown
119.18.48.74,2026-07-03T03:49:55.406258,auto,9,2,N/A,N/A,IN,Unknown
101.36.104.242,2026-07-03T03:49:55.406261,auto,16,3,N/A,N/A,JP,Unknown
101.36.127.85,2026-07-03T03:49:55.406265,auto,11,3,N/A,N/A,HK,Unknown
101.126.89.144,2026-07-03T03:49:55.406269,auto,11,4,N/A,N/A,CN,Unknown
101.13.4.120,2026-07-03T03:49:55.406272,auto,9,4,N/A,N/A,TW,Unknown
1.220.198.126,2026-07-03T03:49:55.406276,auto,10,5,N/A,N/A,KR,Unknown
114.34.106.146,2026-07-03T03:49:55.406292,auto,16,2,N/A,N/A,TW,Unknown
1.241.64.237,2026-07-03T03:49:55.406296,auto,8,3,N/A,N/A,KR,Unknown
124.156.129.246,2026-07-03T03:49:55.406299,auto,13,4,N/A,N/A,HK,Unknown
181.188.176.242,2026-07-03T03:49:55.406303,auto,12,4,N/A,N/A,BO,Unknown
34.116.189.41,2026-07-03T03:49:55.406307,auto,1,1,100,61,PL,Google LLC
172.110.223.94,2026-07-03T03:49:55.406311,auto,2,1,100,35,US,Dedires LLC
101.36.114.252,2026-07-03T03:49:55.406315,auto,13,2,N/A,N/A,KR,Unknown
101.126.4.215,2026-07-03T03:49:55.406319,auto,10,4,N/A,N/A,CN,Unknown
5.61.209.92,2026-07-03T03:49:55.406322,auto,12,5,N/A,N/A,SC,Unknown
198.23.249.85,2026-07-03T03:49:55.406326,auto,11,5,N/A,N/A,US,Unknown
158.94.210.203,2026-07-03T03:49:55.406330,auto,13,3,N/A,N/A,NL,Unknown
59.24.133.197,2026-07-03T03:49:55.406333,auto,10,1,N/A,N/A,KR,Unknown
101.13.5.34,2026-07-03T03:49:55.406337,auto,10,4,N/A,N/A,TW,Unknown
202.72.196.75,2026-07-03T03:49:55.406341,auto,13,4,N/A,N/A,ID,Unknown
45.148.10.183,2026-07-03T03:49:55.406344,auto,17,4,N/A,N/A,NL,Unknown
101.206.211.72,2026-07-03T03:49:55.406348,auto,16,3,N/A,N/A,CN,Unknown
45.56.84.110,2026-07-03T03:49:55.406351,auto,4,2,N/A,N/A,US,Unknown
121.227.152.250,2026-07-03T03:49:55.406355,auto,10,4,N/A,N/A,CN,Unknown
166.62.124.255,2026-07-03T03:49:55.406359,auto,8,3,N/A,N/A,US,Unknown
101.13.5.39,2026-07-03T03:49:55.406362,auto,12,4,N/A,N/A,TW,Unknown
45.148.10.152,2026-07-03T03:49:55.406366,auto,15,2,N/A,N/A,NL,Unknown
1.212.225.99,2026-07-03T03:49:55.406369,auto,9,6,N/A,N/A,KR,Unknown
27.110.166.67,2026-07-03T03:49:55.406373,auto,12,4,N/A,N/A,PH,Unknown
101.36.122.129,2026-07-03T03:49:55.406376,auto,11,3,N/A,N/A,HK,Unknown
101.13.4.124,2026-07-03T03:49:55.406380,auto,9,6,N/A,N/A,TW,Unknown
101.34.59.249,2026-07-03T03:49:55.406383,auto,9,3,N/A,N/A,CN,Unknown
213.209.159.231,2026-07-03T03:49:55.406387,auto,16,3,N/A,N/A,TW,Unknown
101.13.6.91,2026-07-03T03:49:55.406390,auto,13,3,N/A,N/A,TW,Unknown
5.226.140.67,2026-07-03T03:49:55.406394,auto,13,3,N/A,N/A,GB,Unknown
101.126.71.100,2026-07-03T03:49:55.406397,auto,12,4,N/A,N/A,CN,Unknown
85.217.149.42,2026-07-03T03:49:55.406401,auto,10,3,N/A,N/A,CA,Unknown
182.44.10.68,2026-07-03T03:49:55.406405,auto,8,5,N/A,N/A,CN,Unknown
45.227.254.156,2026-07-03T03:49:55.406409,auto,12,4,N/A,N/A,PA,Unknown
101.33.55.172,2026-07-03T03:49:55.406412,auto,8,2,N/A,N/A,SG,Unknown
152.32.247.22,2026-07-03T03:49:55.406416,auto,12,2,N/A,N/A,TH,Unknown
159.203.120.106,2026-07-03T03:49:55.406419,auto,8,3,N/A,N/A,US,Unknown
41.191.229.226,2026-07-03T03:49:55.406423,auto,11,4,N/A,N/A,MU,Unknown
101.34.249.202,2026-07-03T03:49:55.406426,auto,1,4,100,1424,CN,"Tencent Cloud Computing (Beijing) Co., Ltd"
100.10.11.74,2026-07-03T03:49:55.406431,auto,1,1,4,1,US,Verizon Business
101.13.5.32,2026-07-03T03:49:55.406435,auto,12,3,N/A,N/A,TW,Unknown
101.13.4.119,2026-07-03T03:49:55.406439,auto,10,2,N/A,N/A,TW,Unknown
139.59.18.80,2026-07-03T03:49:55.406442,auto,10,4,N/A,N/A,IN,Unknown
101.100.194.252,2026-07-03T03:49:55.406446,auto,5,1,N/A,N/A,SG,Unknown
1.0.164.165,2026-07-03T03:49:55.406450,auto,10,5,N/A,N/A,TH,Unknown
101.36.110.164,2026-07-03T03:49:55.406453,auto,12,4,N/A,N/A,HK,Unknown
101.126.22.12,2026-07-03T03:49:55.406456,auto,13,4,N/A,N/A,CN,Unknown
1.1.220.166,2026-07-03T03:49:55.406460,auto,11,6,N/A,N/A,TH,Unknown
104.46.226.61,2026-07-03T03:49:55.406463,auto,2,3,100,216,JP,Microsoft Corporation
120.48.7.181,2026-07-03T03:49:55.406468,auto,8,3,N/A,N/A,CN,Unknown
87.106.65.126,2026-07-03T03:49:55.406471,auto,9,3,N/A,N/A,GB,Unknown
1.250.67.114,2026-07-03T03:49:55.406475,auto,10,4,N/A,N/A,KR,Unknown
1.234.75.81,2026-07-03T03:49:55.406479,auto,7,6,N/A,N/A,KR,Unknown
59.46.193.187,2026-07-03T03:49:55.406482,auto,13,2,N/A,N/A,CN,Unknown
101.126.86.90,2026-07-03T03:49:55.406486,auto,6,6,N/A,N/A,CN,Unknown
1.27.191.135,2026-07-03T03:49:55.406490,auto,0,0,0,0,CN,China unicom InnerMongolia province network
101.126.145.214,2026-07-03T03:49:55.406497,auto,9,6,N/A,N/A,CN,Unknown
64.89.163.245,2026-07-03T03:49:55.406500,auto,10,4,N/A,N/A,US,Unknown
159.192.144.206,2026-07-03T03:49:55.406504,auto,10,3,N/A,N/A,TH,Unknown
20.13.164.162,2026-07-03T03:49:55.406507,auto,5,2,N/A,N/A,IE,Unknown
101.35.93.253,2026-07-03T03:49:55.406511,auto,3,4,N/A,N/A,CN,Unknown
91.92.40.13,2026-07-03T03:49:55.406514,auto,13,5,N/A,N/A,NL,Unknown
101.126.130.208,2026-07-03T03:49:55.406518,auto,12,5,N/A,N/A,CN,Unknown
85.90.246.159,2026-07-03T03:49:55.406522,auto,12,2,N/A,N/A,DE,Unknown
101.126.54.66,2026-07-03T03:49:55.406525,auto,10,5,N/A,N/A,CN,Unknown
186.31.95.163,2026-07-03T03:49:55.406529,auto,14,3,N/A,N/A,CO,Unknown
1.82.133.130,2026-07-03T03:49:55.406533,auto,13,3,N/A,N/A,CN,Unknown
101.109.255.242,2026-07-03T03:49:55.406536,auto,7,6,N/A,N/A,TH,Unknown
100.42.183.202,2026-07-03T03:49:55.406540,auto,4,1,N/A,N/A,DE,Unknown
101.126.157.138,2026-07-03T03:49:55.406543,auto,12,4,N/A,N/A,CN,Unknown
101.200.61.10,2026-07-03T03:49:55.406547,auto,3,2,N/A,N/A,CN,Unknown
43.173.69.147,2026-07-03T03:49:55.406550,auto,12,5,N/A,N/A,US,Unknown
1.192.61.19,2026-07-03T03:49:55.406554,auto,15,2,N/A,N/A,CN,Unknown
101.36.111.155,2026-07-03T03:49:55.406557,auto,16,3,N/A,N/A,HK,Unknown
43.156.212.6,2026-07-03T03:49:55.406561,auto,10,3,N/A,N/A,SG,Unknown
73.88.196.91,2026-07-03T03:49:55.406565,auto,10,2,N/A,N/A,US,Unknown
101.33.33.44,2026-07-03T03:49:55.406568,auto,3,2,N/A,N/A,SG,Unknown
14.103.140.39,2026-07-03T03:49:55.406572,auto,11,4,N/A,N/A,CN,Unknown
91.231.89.75,2026-07-03T03:49:55.406575,auto,10,5,N/A,N/A,FR,Unknown
1.247.245.61,2026-07-03T03:49:55.406579,auto,10,6,N/A,N/A,KR,Unknown
110.93.224.226,2026-07-03T03:49:55.406582,auto,14,3,N/A,N/A,PK,Unknown
91.231.89.86,2026-07-03T03:49:55.406586,auto,13,3,N/A,N/A,FR,Unknown
1.14.203.20,2026-07-03T03:49:55.406590,auto,3,2,N/A,N/A,CN,Unknown
101.13.5.26,2026-07-03T03:49:55.406593,auto,12,5,N/A,N/A,TW,Unknown
193.163.125.9,2026-07-03T03:49:55.406597,auto,8,4,N/A,N/A,GB,Unknown
45.198.224.244,2026-07-03T03:49:55.406600,auto,14,3,N/A,N/A,US,Unknown
45.148.10.121,2026-07-03T03:49:55.406604,auto,14,1,N/A,N/A,NL,Unknown
116.110.214.207,2026-07-03T03:49:55.406608,auto,0,0,100,116,VN,Viettel Group
