IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.235.192.214,2026-07-13T08:33:26.466116,auto,12,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
1.95.44.44,2026-07-13T08:33:26.466144,auto,0,0,27,4,YES,N/A,China,DXTNET,26.6475,106.6301
103.179.174.112,2026-07-13T08:33:26.466153,auto,14,3,N/A,N/A,NO,N/A,Vietnam,HUNASOFT,16.0314,108.224
139.59.146.150,2026-07-13T08:33:26.466160,auto,9,3,100,1930,NO,N/A,Germany,DIGITALOCEAN,50.1169,8.6837
101.126.26.93,2026-07-13T08:33:26.466169,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.54.95,2026-07-13T08:33:26.466176,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
123.58.198.35,2026-07-13T08:33:26.466182,auto,N/A,N/A,100,2199,NO,N/A,Vietnam,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,10.822,106.6257
172.105.69.26,2026-07-13T08:33:26.466191,auto,N/A,N/A,100,607,NO,N/A,Germany,Akamai Technologies,50.1169,8.6837
118.37.214.187,2026-07-13T08:33:26.466199,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
101.201.63.56,2026-07-13T08:33:26.466205,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
185.223.235.33,2026-07-13T08:33:26.466212,auto,N/A,N/A,100,2065,NO,N/A,The Netherlands,Hydra Communications Ltd,52.3716,4.8883
101.126.89.0,2026-07-13T08:33:26.466220,auto,10,5,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.11.137,2026-07-13T08:33:26.466227,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.23.159,2026-07-13T08:33:26.466233,auto,13,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
103.208.219.38,2026-07-13T08:33:26.466240,auto,N/A,N/A,100,1559,NO,N/A,Australia,Hostopia Australia Web Pty Ltd,-33.8883,151.208
101.201.234.37,2026-07-13T08:33:26.466247,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.255.171.167,2026-07-13T08:33:26.466254,auto,10,2,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.1784,128.5754
