IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
119.18.48.74,2026-07-03T16:18:14.049124,auto,9,2,N/A,N/A,IN,Unknown
101.36.111.119,2026-07-03T16:18:14.049208,auto,10,4,N/A,N/A,HK,Unknown
101.13.5.32,2026-07-03T16:18:14.049234,auto,12,3,N/A,N/A,TW,Unknown
34.116.189.41,2026-07-03T16:18:14.049255,auto,1,1,100,61,PL,Google LLC
110.93.224.226,2026-07-03T16:18:14.049278,auto,14,3,N/A,N/A,PK,Unknown
101.126.89.164,2026-07-03T16:18:14.049294,auto,11,5,N/A,N/A,CN,Unknown
101.32.33.214,2026-07-03T16:18:14.049310,auto,3,1,N/A,N/A,HK,Unknown
152.32.247.22,2026-07-03T16:18:14.049323,auto,12,2,N/A,N/A,TH,Unknown
1.245.207.104,2026-07-03T16:18:14.049336,auto,12,3,N/A,N/A,KR,Unknown
211.51.132.104,2026-07-03T16:18:14.049350,auto,8,2,N/A,N/A,KR,Unknown
101.126.4.215,2026-07-03T16:18:14.049360,auto,10,4,N/A,N/A,CN,Unknown
101.32.58.38,2026-07-03T16:18:14.049372,auto,6,2,N/A,N/A,HK,Unknown
101.35.218.186,2026-07-03T16:18:14.049384,auto,9,5,N/A,N/A,CN,Unknown
1.12.55.42,2026-07-03T16:18:14.049402,auto,7,3,N/A,N/A,CN,Unknown
91.231.89.75,2026-07-03T16:18:14.049415,auto,10,5,N/A,N/A,FR,Unknown
45.82.76.104,2026-07-03T16:18:14.049428,auto,7,4,N/A,N/A,DE,Unknown
1.85.42.195,2026-07-03T16:18:14.049440,auto,9,5,N/A,N/A,CN,Unknown
1.0.164.165,2026-07-03T16:18:14.049451,auto,10,5,N/A,N/A,TH,Unknown
101.36.127.85,2026-07-03T16:18:14.049461,auto,11,3,N/A,N/A,HK,Unknown
101.126.157.138,2026-07-03T16:18:14.049472,auto,12,4,N/A,N/A,CN,Unknown
1.220.82.179,2026-07-03T16:18:14.049483,auto,8,3,N/A,N/A,KR,Unknown
100.42.183.202,2026-07-03T16:18:14.049493,auto,4,1,N/A,N/A,DE,Unknown
101.13.5.26,2026-07-03T16:18:14.049502,auto,12,5,N/A,N/A,TW,Unknown
1.27.191.135,2026-07-03T16:18:14.049511,auto,0,0,0,0,CN,China unicom InnerMongolia province network
5.61.209.92,2026-07-03T16:18:14.049531,auto,12,5,N/A,N/A,SC,Unknown
163.223.244.3,2026-07-03T16:18:14.049645,auto,8,5,N/A,N/A,IN,Unknown
159.203.120.106,2026-07-03T16:18:14.049687,auto,8,3,N/A,N/A,US,Unknown
101.227.203.162,2026-07-03T16:18:14.049712,auto,13,3,N/A,N/A,CN,Unknown
1.52.236.133,2026-07-03T16:18:14.049732,auto,0,0,0,0,VN,FPT Telecom Company
101.251.197.46,2026-07-03T16:18:14.049748,auto,11,3,N/A,N/A,CN,Unknown
120.48.7.181,2026-07-03T16:18:14.049758,auto,8,3,N/A,N/A,CN,Unknown
1.247.245.61,2026-07-03T16:18:14.049768,auto,10,6,N/A,N/A,KR,Unknown
60.53.155.135,2026-07-03T16:18:14.049780,auto,2,3,100,62,MY,TMNST
1.179.185.42,2026-07-03T16:18:14.049793,auto,1,1,0,1,TH,"Ban Mae Lai School , Chiang Mai"
101.126.141.163,2026-07-03T16:18:14.049810,auto,12,4,N/A,N/A,CN,Unknown
101.126.89.35,2026-07-03T16:18:14.049820,auto,10,4,N/A,N/A,CN,Unknown
100.58.122.123,2026-07-03T16:18:14.049830,auto,0,1,38,5,US,Amazon Data Services Northern Virginia
139.59.146.150,2026-07-03T16:18:14.049842,auto,9,3,N/A,N/A,DE,Unknown
101.126.54.95,2026-07-03T16:18:14.049852,auto,9,5,N/A,N/A,CN,Unknown
101.100.194.252,2026-07-03T16:18:14.049862,auto,5,1,N/A,N/A,SG,Unknown
1.86.233.5,2026-07-03T16:18:14.049872,auto,14,3,N/A,N/A,CN,Unknown
