IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
163.223.244.3,2026-07-03T05:49:55.416334,auto,8,5,N/A,N/A,IN,Unknown
200.219.200.16,2026-07-03T05:49:55.416338,auto,5,2,N/A,N/A,BR,Unknown
101.126.147.62,2026-07-03T05:49:55.416341,auto,12,4,N/A,N/A,CN,Unknown
59.37.13.66,2026-07-03T05:49:55.416345,auto,12,1,N/A,N/A,CN,Unknown
185.214.138.30,2026-07-03T05:49:55.416349,auto,8,4,N/A,N/A,ES,Unknown
101.13.1.58,2026-07-03T05:49:55.416352,auto,12,4,N/A,N/A,TW,Unknown
102.220.160.47,2026-07-03T05:49:55.416356,auto,18,2,N/A,N/A,SI,Unknown
184.105.139.67,2026-07-03T05:49:55.416360,auto,13,2,N/A,N/A,US,Unknown
101.36.111.119,2026-07-03T05:49:55.416363,auto,10,4,N/A,N/A,HK,Unknown
78.39.48.166,2026-07-03T05:49:55.416367,auto,11,4,N/A,N/A,IR,Unknown
101.32.240.31,2026-07-03T05:49:55.416373,auto,7,4,N/A,N/A,SG,Unknown
218.59.201.12,2026-07-03T05:49:55.416377,auto,8,3,N/A,N/A,CN,Unknown
66.116.196.243,2026-07-03T05:49:55.416381,auto,7,3,N/A,N/A,IN,Unknown
1.220.82.179,2026-07-03T05:49:55.416384,auto,8,3,N/A,N/A,KR,Unknown
101.36.124.127,2026-07-03T05:49:55.416388,auto,11,4,N/A,N/A,HK,Unknown
101.126.55.67,2026-07-03T05:49:55.416391,auto,13,3,N/A,N/A,CN,Unknown
45.205.1.242,2026-07-03T05:49:55.416395,auto,13,5,N/A,N/A,BR,Unknown
207.90.244.19,2026-07-03T05:49:55.416399,auto,11,3,N/A,N/A,US,Unknown
195.184.76.68,2026-07-03T05:49:55.416403,auto,10,4,N/A,N/A,US,Unknown
1.245.207.104,2026-07-03T05:49:55.416407,auto,12,3,N/A,N/A,KR,Unknown
101.13.6.86,2026-07-03T05:49:55.416411,auto,10,4,N/A,N/A,TW,Unknown
1.227.228.131,2026-07-03T05:49:55.416414,auto,10,4,N/A,N/A,KR,Unknown
1.235.192.214,2026-07-03T05:49:55.416418,auto,12,4,N/A,N/A,KR,Unknown
190.115.84.25,2026-07-03T05:49:55.416422,auto,16,3,N/A,N/A,BR,Unknown
101.126.53.14,2026-07-03T05:49:55.416425,auto,17,3,N/A,N/A,CN,Unknown
52.161.46.112,2026-07-03T05:49:55.416429,auto,1,1,100,35,US,Microsoft Corporation
101.126.154.252,2026-07-03T05:49:55.416435,auto,16,4,N/A,N/A,CN,Unknown
100.11.13.169,2026-07-03T05:49:55.416438,auto,2,1,4,1,US,Verizon Business
101.126.89.164,2026-07-03T05:49:55.416443,auto,11,5,N/A,N/A,CN,Unknown
141.11.88.101,2026-07-03T05:49:55.416447,auto,5,3,N/A,N/A,US,Unknown
1.238.106.229,2026-07-03T05:49:55.416450,auto,10,6,N/A,N/A,KR,Unknown
45.148.10.15,2026-07-03T05:49:55.416454,auto,11,2,N/A,N/A,NL,Unknown
66.132.195.94,2026-07-03T05:49:55.416458,auto,8,2,N/A,N/A,US,Unknown
101.126.67.70,2026-07-03T05:49:55.416461,auto,9,4,N/A,N/A,CN,Unknown
101.36.109.144,2026-07-03T05:49:55.416465,auto,10,5,N/A,N/A,HK,Unknown
101.126.88.251,2026-07-03T05:49:55.416468,auto,12,3,N/A,N/A,CN,Unknown
101.109.41.163,2026-07-03T05:49:55.416472,auto,6,2,N/A,N/A,TH,Unknown
101.13.5.49,2026-07-03T05:49:55.416476,auto,10,4,N/A,N/A,TW,Unknown
1.86.233.5,2026-07-03T05:49:55.416480,auto,14,3,N/A,N/A,CN,Unknown
101.251.197.46,2026-07-03T05:49:55.416483,auto,11,3,N/A,N/A,CN,Unknown
4.193.152.113,2026-07-03T05:49:55.416487,auto,3,2,N/A,N/A,SG,Unknown
101.126.55.63,2026-07-03T05:49:55.416491,auto,11,5,N/A,N/A,CN,Unknown
101.36.119.203,2026-07-03T05:49:55.416496,auto,12,5,N/A,N/A,HK,Unknown
211.51.132.104,2026-07-03T05:49:55.416500,auto,8,2,N/A,N/A,KR,Unknown
1.94.250.30,2026-07-03T05:49:55.416503,auto,1,2,44,6,CN,"Beijing Teletron Telecom Engineering Co., Ltd."
45.153.34.144,2026-07-03T05:49:55.416508,auto,16,3,N/A,N/A,NL,Unknown
101.13.5.30,2026-07-03T05:49:55.416512,auto,10,4,N/A,N/A,TW,Unknown
23.94.92.98,2026-07-03T05:49:55.416528,auto,13,4,N/A,N/A,US,Unknown
119.18.48.74,2026-07-03T05:49:55.416532,auto,9,2,N/A,N/A,IN,Unknown
101.36.104.242,2026-07-03T05:49:55.416535,auto,16,3,N/A,N/A,JP,Unknown
