IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
91.231.89.75,2026-07-03T10:17:12.916453,auto,10,5,N/A,N/A,FR,Unknown
180.76.236.214,2026-07-03T10:17:12.916479,auto,11,4,N/A,N/A,CN,Unknown
51.178.114.78,2026-07-03T10:17:12.916487,auto,12,4,N/A,N/A,FR,Unknown
101.126.89.144,2026-07-03T10:17:12.916494,auto,11,4,N/A,N/A,CN,Unknown
218.59.201.12,2026-07-03T10:17:12.916501,auto,8,3,N/A,N/A,CN,Unknown
43.156.212.6,2026-07-03T10:17:12.916508,auto,10,3,N/A,N/A,SG,Unknown
101.34.249.202,2026-07-03T10:17:12.916513,auto,1,4,100,1424,CN,"Tencent Cloud Computing (Beijing) Co., Ltd"
1.192.61.19,2026-07-03T10:17:12.916526,auto,15,2,N/A,N/A,CN,Unknown
186.31.95.163,2026-07-03T10:17:12.916533,auto,14,3,N/A,N/A,CO,Unknown
52.161.46.112,2026-07-03T10:17:12.916538,auto,1,1,100,35,US,Microsoft Corporation
207.90.244.19,2026-07-03T10:17:12.916546,auto,11,3,N/A,N/A,US,Unknown
1.12.55.42,2026-07-03T10:17:12.916552,auto,7,3,N/A,N/A,CN,Unknown
101.33.55.172,2026-07-03T10:17:12.916557,auto,8,2,N/A,N/A,SG,Unknown
101.126.35.9,2026-07-03T10:17:12.916562,auto,7,6,N/A,N/A,CN,Unknown
100.42.183.202,2026-07-03T10:17:12.916569,auto,4,1,N/A,N/A,DE,Unknown
45.148.10.183,2026-07-03T10:17:12.916574,auto,17,4,N/A,N/A,NL,Unknown
23.94.92.98,2026-07-03T10:17:12.916578,auto,13,4,N/A,N/A,US,Unknown
101.13.5.30,2026-07-03T10:17:12.916583,auto,10,4,N/A,N/A,TW,Unknown
101.32.33.214,2026-07-03T10:17:12.916588,auto,3,1,N/A,N/A,HK,Unknown
159.192.144.206,2026-07-03T10:17:12.916592,auto,10,3,N/A,N/A,TH,Unknown
184.105.139.67,2026-07-03T10:17:12.916597,auto,13,2,N/A,N/A,US,Unknown
101.126.71.100,2026-07-03T10:17:12.916602,auto,12,4,N/A,N/A,CN,Unknown
101.100.194.252,2026-07-03T10:17:12.916606,auto,5,1,N/A,N/A,SG,Unknown
192.169.234.117,2026-07-03T10:17:12.916610,auto,11,3,N/A,N/A,US,Unknown
163.223.244.3,2026-07-03T10:17:12.916614,auto,8,5,N/A,N/A,IN,Unknown
101.13.5.26,2026-07-03T10:17:12.916618,auto,12,5,N/A,N/A,TW,Unknown
101.251.197.46,2026-07-03T10:17:12.916622,auto,11,3,N/A,N/A,CN,Unknown
101.126.11.137,2026-07-03T10:17:12.916625,auto,10,4,N/A,N/A,CN,Unknown
101.32.145.199,2026-07-03T10:17:12.916629,auto,8,5,N/A,N/A,SG,Unknown
101.126.86.90,2026-07-03T10:17:12.916633,auto,6,6,N/A,N/A,CN,Unknown
101.126.154.252,2026-07-03T10:17:12.916637,auto,16,4,N/A,N/A,CN,Unknown
100.52.174.174,2026-07-03T10:17:12.916641,auto,0,0,4,1,US,Amazon Data Services Northern Virginia
139.59.146.150,2026-07-03T10:17:12.916647,auto,9,3,N/A,N/A,DE,Unknown
122.168.123.73,2026-07-03T10:17:12.916652,auto,15,3,N/A,N/A,IN,Unknown
101.126.147.62,2026-07-03T10:17:12.916656,auto,12,4,N/A,N/A,CN,Unknown
101.13.4.119,2026-07-03T10:17:12.916660,auto,10,2,N/A,N/A,TW,Unknown
45.148.10.151,2026-07-03T10:17:12.916664,auto,13,3,N/A,N/A,NL,Unknown
200.219.200.16,2026-07-03T10:17:12.916668,auto,5,2,N/A,N/A,BR,Unknown
1.238.106.229,2026-07-03T10:17:12.916675,auto,10,6,N/A,N/A,KR,Unknown
