IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
1.15.135.116,2026-07-03T10:17:12.916679,auto,6,2,N/A,N/A,CN,Unknown
116.110.214.207,2026-07-03T10:17:12.916684,auto,0,0,100,116,VN,Viettel Group
165.232.143.119,2026-07-03T10:17:12.916688,auto,6,2,N/A,N/A,US,Unknown
147.148.205.252,2026-07-03T10:17:12.916692,auto,10,5,N/A,N/A,GB,Unknown
101.132.144.220,2026-07-03T10:17:12.916696,auto,6,4,N/A,N/A,CN,Unknown
213.209.159.231,2026-07-03T10:17:12.916701,auto,16,3,N/A,N/A,TW,Unknown
101.126.26.93,2026-07-03T10:17:12.916707,auto,12,4,N/A,N/A,CN,Unknown
85.217.149.42,2026-07-03T10:17:12.916710,auto,10,3,N/A,N/A,CA,Unknown
1.180.246.242,2026-07-03T10:17:12.916715,auto,3,2,N/A,N/A,CN,Unknown
78.39.48.166,2026-07-03T10:17:12.916718,auto,11,4,N/A,N/A,IR,Unknown
101.13.4.120,2026-07-03T10:17:12.916722,auto,9,4,N/A,N/A,TW,Unknown
5.61.209.92,2026-07-03T10:17:12.916725,auto,12,5,N/A,N/A,SC,Unknown
1.82.133.130,2026-07-03T10:17:12.916729,auto,13,3,N/A,N/A,CN,Unknown
45.82.76.104,2026-07-03T10:17:12.916733,auto,7,4,N/A,N/A,DE,Unknown
1.212.225.99,2026-07-03T10:17:12.916736,auto,9,6,N/A,N/A,KR,Unknown
1.250.67.190,2026-07-03T10:17:12.916740,auto,10,4,N/A,N/A,KR,Unknown
166.62.124.255,2026-07-03T10:17:12.916744,auto,8,3,N/A,N/A,US,Unknown
101.13.5.33,2026-07-03T10:17:12.916748,auto,13,3,N/A,N/A,TW,Unknown
101.126.89.35,2026-07-03T10:17:12.916752,auto,10,4,N/A,N/A,CN,Unknown
101.126.155.86,2026-07-03T10:17:12.916756,auto,11,4,N/A,N/A,CN,Unknown
187.50.194.182,2026-07-03T10:17:12.916760,auto,16,3,N/A,N/A,BR,Unknown
101.109.113.64,2026-07-03T10:17:12.916764,auto,1,1,0,0,TH,TOT Public Company Limited
101.126.67.70,2026-07-03T10:17:12.916768,auto,9,4,N/A,N/A,CN,Unknown
101.126.130.208,2026-07-03T10:17:12.916772,auto,12,5,N/A,N/A,CN,Unknown
101.126.14.37,2026-07-03T10:17:12.916775,auto,12,4,N/A,N/A,CN,Unknown
45.198.224.244,2026-07-03T10:17:12.916780,auto,14,3,N/A,N/A,US,Unknown
66.132.195.94,2026-07-03T10:17:12.916784,auto,8,2,N/A,N/A,US,Unknown
106.251.244.178,2026-07-03T10:17:12.916788,auto,6,7,N/A,N/A,KR,Unknown
101.127.101.225,2026-07-03T10:17:12.916791,auto,9,4,N/A,N/A,SG,Unknown
101.126.30.240,2026-07-03T10:17:12.916795,auto,10,4,N/A,N/A,CN,Unknown
211.51.132.104,2026-07-03T10:17:12.916799,auto,8,2,N/A,N/A,KR,Unknown
101.126.54.66,2026-07-03T10:17:12.916803,auto,10,5,N/A,N/A,CN,Unknown
101.13.5.32,2026-07-03T10:17:12.916806,auto,12,3,N/A,N/A,TW,Unknown
141.11.88.101,2026-07-03T10:17:12.916810,auto,5,3,N/A,N/A,US,Unknown
59.46.193.187,2026-07-03T10:17:12.916813,auto,13,2,N/A,N/A,CN,Unknown
14.103.140.39,2026-07-03T10:17:12.916817,auto,11,4,N/A,N/A,CN,Unknown
1.234.75.81,2026-07-03T10:17:12.916821,auto,7,6,N/A,N/A,KR,Unknown
1.220.198.126,2026-07-03T10:17:12.916827,auto,10,5,N/A,N/A,KR,Unknown
101.13.5.195,2026-07-03T10:17:12.916831,auto,12,4,N/A,N/A,TW,Unknown
190.115.84.25,2026-07-03T10:17:12.916837,auto,16,3,N/A,N/A,BR,Unknown
101.200.61.10,2026-07-03T10:17:12.916840,auto,3,2,N/A,N/A,CN,Unknown
101.13.5.34,2026-07-03T10:17:12.916844,auto,10,4,N/A,N/A,TW,Unknown
101.126.55.63,2026-07-03T10:17:12.916848,auto,11,5,N/A,N/A,CN,Unknown
45.227.254.170,2026-07-03T10:17:12.916851,auto,11,4,N/A,N/A,PA,Unknown
182.44.10.68,2026-07-03T10:17:12.916855,auto,8,5,N/A,N/A,CN,Unknown
101.13.6.91,2026-07-03T10:17:12.916859,auto,13,3,N/A,N/A,TW,Unknown
193.163.125.9,2026-07-03T10:17:12.916862,auto,8,4,N/A,N/A,GB,Unknown
101.227.79.195,2026-07-03T10:17:12.916866,auto,11,2,N/A,N/A,CN,Unknown
1.214.214.114,2026-07-03T10:17:12.916870,auto,12,5,N/A,N/A,KR,Unknown
124.156.129.246,2026-07-03T10:17:12.916873,auto,13,4,N/A,N/A,HK,Unknown
101.36.110.164,2026-07-03T10:17:12.916877,auto,12,4,N/A,N/A,HK,Unknown
101.126.53.14,2026-07-03T10:17:12.916881,auto,17,3,N/A,N/A,CN,Unknown
1.85.42.195,2026-07-03T10:17:12.916886,auto,9,5,N/A,N/A,CN,Unknown
101.13.5.63,2026-07-03T10:17:12.916890,auto,13,3,N/A,N/A,TW,Unknown
101.36.124.127,2026-07-03T10:17:12.916894,auto,11,4,N/A,N/A,HK,Unknown
47.89.187.129,2026-07-03T10:17:12.916898,auto,3,3,N/A,N/A,US,Unknown
1.227.228.131,2026-07-03T10:17:12.916902,auto,10,4,N/A,N/A,KR,Unknown
101.206.211.72,2026-07-03T10:17:12.916905,auto,16,3,N/A,N/A,CN,Unknown
159.203.120.106,2026-07-03T10:17:12.916909,auto,8,3,N/A,N/A,US,Unknown
101.126.54.95,2026-07-03T10:17:12.916912,auto,9,5,N/A,N/A,CN,Unknown
202.72.196.75,2026-07-03T10:17:12.916916,auto,13,4,N/A,N/A,ID,Unknown
100.10.11.74,2026-07-03T10:17:12.916920,auto,1,1,4,1,US,Verizon Business
87.106.65.126,2026-07-03T10:17:12.916924,auto,9,3,N/A,N/A,GB,Unknown
59.37.13.66,2026-07-03T10:17:12.916928,auto,12,1,N/A,N/A,CN,Unknown
100.11.13.169,2026-07-03T10:17:12.916931,auto,2,1,4,1,US,Verizon Business
152.32.247.22,2026-07-03T10:17:12.916935,auto,12,2,N/A,N/A,TH,Unknown
101.34.59.249,2026-07-03T10:17:12.916939,auto,9,3,N/A,N/A,CN,Unknown
101.24.126.14,2026-07-03T10:17:12.916942,auto,4,3,N/A,N/A,CN,Unknown
66.116.196.243,2026-07-03T10:17:12.916946,auto,7,3,N/A,N/A,IN,Unknown
47.84.204.63,2026-07-03T10:17:12.916951,auto,9,4,N/A,N/A,SG,Unknown
59.24.133.197,2026-07-03T10:17:12.916954,auto,10,1,N/A,N/A,KR,Unknown
172.110.223.94,2026-07-03T10:17:12.916958,auto,2,1,100,35,US,Dedires LLC
100.54.43.203,2026-07-03T10:17:12.916962,auto,0,0,0,0,US,Amazon Data Services Northern Virginia
101.126.88.251,2026-07-03T10:17:12.916966,auto,12,3,N/A,N/A,CN,Unknown
148.170.129.144,2026-07-03T10:17:12.916984,auto,11,2,N/A,N/A,CA,Unknown
101.126.141.163,2026-07-03T10:17:12.916988,auto,12,4,N/A,N/A,CN,Unknown
114.34.106.146,2026-07-03T10:17:12.916992,auto,16,2,N/A,N/A,TW,Unknown
45.153.34.144,2026-07-03T10:17:12.916996,auto,16,3,N/A,N/A,NL,Unknown
1.94.250.30,2026-07-03T10:17:12.917000,auto,1,2,44,6,CN,"Beijing Teletron Telecom Engineering Co., Ltd."
158.94.210.203,2026-07-03T10:17:12.917004,auto,13,3,N/A,N/A,NL,Unknown
85.90.246.159,2026-07-03T10:17:12.917008,auto,12,2,N/A,N/A,DE,Unknown
43.173.69.147,2026-07-03T10:17:12.917012,auto,12,5,N/A,N/A,US,Unknown
101.126.145.214,2026-07-03T10:17:12.917015,auto,9,6,N/A,N/A,CN,Unknown
101.227.203.162,2026-07-03T10:17:12.917019,auto,13,3,N/A,N/A,CN,Unknown
5.226.140.67,2026-07-03T10:17:12.917023,auto,13,3,N/A,N/A,GB,Unknown
45.56.84.110,2026-07-03T10:17:12.917027,auto,4,2,N/A,N/A,US,Unknown
101.126.81.18,2026-07-03T10:17:12.917030,auto,11,6,N/A,N/A,CN,Unknown
101.13.5.49,2026-07-03T10:17:12.917034,auto,10,4,N/A,N/A,TW,Unknown
1.0.164.165,2026-07-03T10:17:12.917037,auto,10,5,N/A,N/A,TH,Unknown
152.32.233.2,2026-07-03T10:17:12.917041,auto,6,6,N/A,N/A,US,Unknown
1.86.233.5,2026-07-03T10:17:12.917044,auto,14,3,N/A,N/A,CN,Unknown
101.36.122.129,2026-07-03T10:17:12.917048,auto,11,3,N/A,N/A,HK,Unknown
101.36.109.144,2026-07-03T10:17:12.917051,auto,10,5,N/A,N/A,HK,Unknown
60.53.155.135,2026-07-03T10:17:12.917055,auto,2,3,100,62,MY,TMNST
177.76.134.52,2026-07-03T10:17:12.917059,auto,9,2,N/A,N/A,BR,Unknown
1.241.64.237,2026-07-03T10:17:12.917063,auto,8,3,N/A,N/A,KR,Unknown
1.222.42.237,2026-07-03T10:17:12.917066,auto,10,4,N/A,N/A,KR,Unknown
1.27.191.135,2026-07-03T10:17:12.917070,auto,0,0,0,0,CN,China unicom InnerMongolia province network
101.109.41.163,2026-07-03T10:17:12.917075,auto,6,2,N/A,N/A,TH,Unknown
101.36.114.252,2026-07-03T10:17:12.917078,auto,13,2,N/A,N/A,KR,Unknown
1.214.42.172,2026-07-03T10:17:12.917082,auto,9,4,N/A,N/A,KR,Unknown
1.245.207.104,2026-07-03T10:17:12.917085,auto,12,3,N/A,N/A,KR,Unknown
91.231.89.86,2026-07-03T10:17:12.917089,auto,13,3,N/A,N/A,FR,Unknown
101.36.109.176,2026-07-03T10:17:12.917093,auto,10,5,N/A,N/A,HK,Unknown
101.36.111.155,2026-07-03T10:17:12.917096,auto,16,3,N/A,N/A,HK,Unknown
185.214.138.30,2026-07-03T10:17:12.917100,auto,8,4,N/A,N/A,ES,Unknown
102.220.160.47,2026-07-03T10:17:12.917103,auto,18,2,N/A,N/A,SI,Unknown
45.148.10.152,2026-07-03T10:17:12.917107,auto,15,2,N/A,N/A,NL,Unknown
1.235.192.214,2026-07-03T10:17:12.917110,auto,12,4,N/A,N/A,KR,Unknown
222.97.112.179,2026-07-03T10:17:12.917114,auto,4,3,N/A,N/A,KR,Unknown
85.217.149.58,2026-07-03T10:17:12.917117,auto,10,3,N/A,N/A,CA,Unknown
34.116.189.41,2026-07-03T10:17:12.917121,auto,1,1,100,61,PL,Google LLC
121.227.152.250,2026-07-03T10:17:12.917125,auto,10,4,N/A,N/A,CN,Unknown
27.110.166.67,2026-07-03T10:17:12.917129,auto,12,4,N/A,N/A,PH,Unknown
101.13.5.39,2026-07-03T10:17:12.917132,auto,12,4,N/A,N/A,TW,Unknown
101.126.89.164,2026-07-03T10:17:12.917136,auto,11,5,N/A,N/A,CN,Unknown
119.18.48.74,2026-07-03T10:17:12.917140,auto,9,2,N/A,N/A,IN,Unknown
101.126.89.0,2026-07-03T10:17:12.917144,auto,10,5,N/A,N/A,CN,Unknown
101.13.4.124,2026-07-03T10:17:12.917147,auto,9,6,N/A,N/A,TW,Unknown
101.36.111.119,2026-07-03T10:17:12.917151,auto,10,4,N/A,N/A,HK,Unknown
1.237.155.150,2026-07-03T10:17:12.917155,auto,6,4,N/A,N/A,KR,Unknown
91.92.40.13,2026-07-03T10:17:12.917158,auto,13,5,N/A,N/A,NL,Unknown
101.126.22.12,2026-07-03T10:17:12.917162,auto,13,4,N/A,N/A,CN,Unknown
101.126.157.138,2026-07-03T10:17:12.917165,auto,12,4,N/A,N/A,CN,Unknown
20.13.164.162,2026-07-03T10:17:12.917169,auto,5,2,N/A,N/A,IE,Unknown
1.220.82.179,2026-07-03T10:17:12.917172,auto,8,3,N/A,N/A,KR,Unknown
101.126.4.215,2026-07-03T10:17:12.917176,auto,10,4,N/A,N/A,CN,Unknown
101.126.55.67,2026-07-03T10:17:12.917180,auto,13,3,N/A,N/A,CN,Unknown
73.88.196.91,2026-07-03T10:17:12.917183,auto,10,2,N/A,N/A,US,Unknown
1.14.203.20,2026-07-03T10:17:12.917187,auto,3,2,N/A,N/A,CN,Unknown
101.126.17.72,2026-07-03T10:17:12.917191,auto,15,4,N/A,N/A,CN,Unknown
101.35.93.253,2026-07-03T10:17:12.917194,auto,3,4,N/A,N/A,CN,Unknown
20.226.82.21,2026-07-03T10:17:12.917198,auto,2,1,100,169,BR,Microsoft Corporation
94.231.206.248,2026-07-03T10:17:12.917202,auto,12,5,N/A,N/A,CN,Unknown
101.13.4.128,2026-07-03T10:17:12.917206,auto,14,4,N/A,N/A,TW,Unknown
1.250.67.114,2026-07-03T10:17:12.917209,auto,10,4,N/A,N/A,KR,Unknown
101.32.1.25,2026-07-03T10:17:12.917213,auto,12,3,N/A,N/A,HK,Unknown
101.36.104.242,2026-07-03T10:17:12.917216,auto,16,3,N/A,N/A,JP,Unknown
139.59.18.80,2026-07-03T10:17:12.917220,auto,10,4,N/A,N/A,IN,Unknown
101.13.5.50,2026-07-03T10:17:12.917224,auto,15,5,N/A,N/A,TW,Unknown
120.48.7.181,2026-07-03T10:17:12.917227,auto,8,3,N/A,N/A,CN,Unknown
100.55.60.114,2026-07-03T10:17:12.917231,auto,0,0,16,2,US,Amazon Data Services Northern Virginia
41.191.229.226,2026-07-03T10:17:12.917237,auto,11,4,N/A,N/A,MU,Unknown
1.247.245.61,2026-07-03T10:17:12.917241,auto,10,6,N/A,N/A,KR,Unknown
1.20.140.252,2026-07-03T10:17:12.917245,auto,10,4,N/A,N/A,TH,Unknown
101.36.107.233,2026-07-03T10:17:12.917248,auto,10,4,N/A,N/A,HK,Unknown
4.193.152.113,2026-07-03T10:17:12.917252,auto,3,2,N/A,N/A,SG,Unknown
45.227.254.156,2026-07-03T10:17:12.917255,auto,12,4,N/A,N/A,PA,Unknown
110.93.224.226,2026-07-03T10:17:12.917259,auto,14,3,N/A,N/A,PK,Unknown
181.188.176.242,2026-07-03T10:17:12.917262,auto,12,4,N/A,N/A,BO,Unknown
45.205.1.242,2026-07-03T10:17:12.917266,auto,13,5,N/A,N/A,BR,Unknown
1.179.185.42,2026-07-03T10:17:12.917270,auto,1,1,0,1,TH,"Ban Mae Lai School , Chiang Mai"
198.23.249.85,2026-07-03T10:17:12.917275,auto,11,5,N/A,N/A,US,Unknown
101.36.119.203,2026-07-03T10:17:12.917278,auto,12,5,N/A,N/A,HK,Unknown
45.148.10.15,2026-07-03T10:17:12.917282,auto,11,2,N/A,N/A,NL,Unknown
104.46.226.61,2026-07-03T10:17:12.917286,auto,2,3,100,216,JP,Microsoft Corporation
101.33.33.44,2026-07-03T10:17:12.917290,auto,3,2,N/A,N/A,SG,Unknown
176.65.148.132,2026-07-03T10:17:12.917293,auto,11,2,N/A,N/A,NL,Unknown
100.58.122.123,2026-07-03T10:17:12.917313,auto,0,1,38,5,US,Amazon Data Services Northern Virginia
101.126.82.218,2026-07-03T10:17:12.917318,auto,10,6,N/A,N/A,CN,Unknown
101.36.127.85,2026-07-03T10:17:12.917322,auto,11,3,N/A,N/A,HK,Unknown
1.83.125.204,2026-07-03T10:17:12.917325,auto,5,6,N/A,N/A,CN,Unknown
1.20.228.110,2026-07-03T10:17:12.917329,auto,14,3,N/A,N/A,TH,Unknown
194.187.176.117,2026-07-03T10:17:12.917332,auto,8,5,N/A,N/A,DE,Unknown
101.109.255.242,2026-07-03T10:17:12.917336,auto,7,6,N/A,N/A,TH,Unknown
20.255.61.0,2026-07-03T10:17:12.917340,auto,4,2,N/A,N/A,HK,Unknown
50.6.248.168,2026-07-03T10:17:12.917343,auto,13,3,N/A,N/A,US,Unknown
24.144.84.83,2026-07-03T10:17:12.917348,auto,9,3,N/A,N/A,US,Unknown
195.184.76.68,2026-07-03T10:17:12.917351,auto,10,4,N/A,N/A,US,Unknown
101.13.4.122,2026-07-03T10:17:12.917356,auto,13,3,N/A,N/A,TW,Unknown
100.31.3.194,2026-07-03T10:17:12.917360,auto,1,2,3,1,US,Amazon Data Services Northern Virginia
1.1.220.166,2026-07-03T10:17:12.917365,auto,11,6,N/A,N/A,TH,Unknown
101.32.240.31,2026-07-03T10:17:12.917368,auto,7,4,N/A,N/A,SG,Unknown
66.155.223.226,2026-07-03T10:17:12.917372,auto,6,2,N/A,N/A,US,Unknown
101.13.6.86,2026-07-03T10:17:12.917375,auto,10,4,N/A,N/A,TW,Unknown
45.148.10.121,2026-07-03T10:17:12.917379,auto,14,1,N/A,N/A,NL,Unknown
101.13.1.58,2026-07-03T10:17:12.917382,auto,12,4,N/A,N/A,TW,Unknown
154.64.241.188,2026-07-03T10:17:12.917386,auto,2,2,100,69,US,"PSINet, Inc."
1.14.28.29,2026-07-03T10:17:12.917390,auto,6,4,N/A,N/A,CN,Unknown
64.89.163.245,2026-07-03T10:17:12.917394,auto,10,4,N/A,N/A,US,Unknown
193.26.115.137,2026-07-03T10:17:12.917397,auto,4,3,N/A,N/A,US,Unknown
