IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
101.13.5.50,2026-07-03T04:49:55.410994,auto,15,5,N/A,N/A,TW,Unknown
106.251.244.178,2026-07-03T04:49:55.411019,auto,6,7,N/A,N/A,KR,Unknown
1.20.228.110,2026-07-03T04:49:55.411027,auto,14,3,N/A,N/A,TH,Unknown
193.26.115.137,2026-07-03T04:49:55.411033,auto,4,3,N/A,N/A,US,Unknown
101.126.17.72,2026-07-03T04:49:55.411039,auto,15,4,N/A,N/A,CN,Unknown
66.155.223.226,2026-07-03T04:49:55.411046,auto,6,2,N/A,N/A,US,Unknown
101.126.54.95,2026-07-03T04:49:55.411051,auto,9,5,N/A,N/A,CN,Unknown
20.255.61.0,2026-07-03T04:49:55.411055,auto,4,2,N/A,N/A,HK,Unknown
101.227.79.195,2026-07-03T04:49:55.411059,auto,11,2,N/A,N/A,CN,Unknown
85.217.149.58,2026-07-03T04:49:55.411066,auto,10,3,N/A,N/A,CA,Unknown
101.126.11.137,2026-07-03T04:49:55.411072,auto,10,4,N/A,N/A,CN,Unknown
1.83.125.204,2026-07-03T04:49:55.411078,auto,5,6,N/A,N/A,CN,Unknown
101.13.4.128,2026-07-03T04:49:55.411085,auto,14,4,N/A,N/A,TW,Unknown
45.82.76.104,2026-07-03T04:49:55.411090,auto,7,4,N/A,N/A,DE,Unknown
47.84.204.63,2026-07-03T04:49:55.411096,auto,9,4,N/A,N/A,SG,Unknown
1.222.42.237,2026-07-03T04:49:55.411100,auto,10,4,N/A,N/A,KR,Unknown
154.64.241.188,2026-07-03T04:49:55.411105,auto,2,2,100,69,US,"PSINet, Inc."
1.214.214.114,2026-07-03T04:49:55.411113,auto,12,5,N/A,N/A,KR,Unknown
148.170.129.144,2026-07-03T04:49:55.411118,auto,11,2,N/A,N/A,CA,Unknown
152.32.233.2,2026-07-03T04:49:55.411124,auto,6,6,N/A,N/A,US,Unknown
101.132.144.220,2026-07-03T04:49:55.411129,auto,6,4,N/A,N/A,CN,Unknown
60.53.155.135,2026-07-03T04:49:55.411133,auto,2,3,100,62,MY,TMNST
47.89.187.129,2026-07-03T04:49:55.411138,auto,3,3,N/A,N/A,US,Unknown
139.59.146.150,2026-07-03T04:49:55.411143,auto,9,3,N/A,N/A,DE,Unknown
165.232.143.119,2026-07-03T04:49:55.411147,auto,6,2,N/A,N/A,US,Unknown
101.32.145.199,2026-07-03T04:49:55.411152,auto,8,5,N/A,N/A,SG,Unknown
177.76.134.52,2026-07-03T04:49:55.411157,auto,9,2,N/A,N/A,BR,Unknown
101.126.89.0,2026-07-03T04:49:55.411161,auto,10,5,N/A,N/A,CN,Unknown
101.24.126.14,2026-07-03T04:49:55.411168,auto,4,3,N/A,N/A,CN,Unknown
24.144.84.83,2026-07-03T04:49:55.411172,auto,9,3,N/A,N/A,US,Unknown
50.6.248.168,2026-07-03T04:49:55.411176,auto,13,3,N/A,N/A,US,Unknown
176.65.148.132,2026-07-03T04:49:55.411180,auto,11,2,N/A,N/A,NL,Unknown
101.36.109.176,2026-07-03T04:49:55.411184,auto,10,5,N/A,N/A,HK,Unknown
45.148.10.151,2026-07-03T04:49:55.411189,auto,13,3,N/A,N/A,NL,Unknown
100.55.60.114,2026-07-03T04:49:55.411193,auto,0,0,16,2,US,Amazon Data Services Northern Virginia
101.126.89.35,2026-07-03T04:49:55.411200,auto,10,4,N/A,N/A,CN,Unknown
1.85.42.195,2026-07-03T04:49:55.411203,auto,9,5,N/A,N/A,CN,Unknown
147.148.205.252,2026-07-03T04:49:55.411207,auto,10,5,N/A,N/A,GB,Unknown
180.76.236.214,2026-07-03T04:49:55.411211,auto,11,4,N/A,N/A,CN,Unknown
101.13.5.33,2026-07-03T04:49:55.411215,auto,13,3,N/A,N/A,TW,Unknown
192.169.234.117,2026-07-03T04:49:55.411219,auto,11,3,N/A,N/A,US,Unknown
101.32.33.214,2026-07-03T04:49:55.411223,auto,3,1,N/A,N/A,HK,Unknown
101.126.81.18,2026-07-03T04:49:55.411227,auto,11,6,N/A,N/A,CN,Unknown
45.227.254.170,2026-07-03T04:49:55.411230,auto,11,4,N/A,N/A,PA,Unknown
101.126.35.9,2026-07-03T04:49:55.411234,auto,7,6,N/A,N/A,CN,Unknown
122.168.123.73,2026-07-03T04:49:55.411238,auto,15,3,N/A,N/A,IN,Unknown
101.13.5.63,2026-07-03T04:49:55.411242,auto,13,3,N/A,N/A,TW,Unknown
101.36.107.233,2026-07-03T04:49:55.411246,auto,10,4,N/A,N/A,HK,Unknown
101.126.82.218,2026-07-03T04:49:55.411250,auto,10,6,N/A,N/A,CN,Unknown
222.97.112.179,2026-07-03T04:49:55.411253,auto,4,3,N/A,N/A,KR,Unknown
187.50.194.182,2026-07-03T04:49:55.411257,auto,16,3,N/A,N/A,BR,Unknown
20.226.82.21,2026-07-03T04:49:55.411261,auto,2,1,100,169,BR,Microsoft Corporation
101.126.26.93,2026-07-03T04:49:55.411266,auto,12,4,N/A,N/A,CN,Unknown
